status	old_path	new_path	additions	deletions	section
A		docs/01-app/01-getting-started/01-installation.mdx	413	0	app/getting-started
A		docs/01-app/01-getting-started/02-project-structure.mdx	421	0	app/getting-started
A		docs/01-app/01-getting-started/03-layouts-and-pages.mdx	360	0	app/getting-started
A		docs/01-app/01-getting-started/04-linking-and-navigating.mdx	440	0	app/getting-started
A		docs/01-app/01-getting-started/05-server-and-client-components.mdx	778	0	app/getting-started
A		docs/01-app/01-getting-started/06-cache-components.mdx	653	0	app/getting-started
A		docs/01-app/01-getting-started/07-fetching-data.mdx	657	0	app/getting-started
A		docs/01-app/01-getting-started/08-updating-data.mdx	521	0	app/getting-started
A		docs/01-app/01-getting-started/09-caching-and-revalidating.mdx	323	0	app/getting-started
A		docs/01-app/01-getting-started/10-error-handling.mdx	372	0	app/getting-started
A		docs/01-app/01-getting-started/11-css.mdx	458	0	app/getting-started
A		docs/01-app/01-getting-started/12-images.mdx	192	0	app/getting-started
A		docs/01-app/01-getting-started/13-fonts.mdx	414	0	app/getting-started
A		docs/01-app/01-getting-started/14-metadata-and-og-images.mdx	334	0	app/getting-started
A		docs/01-app/01-getting-started/15-route-handlers.mdx	202	0	app/getting-started
A		docs/01-app/01-getting-started/16-proxy.mdx	78	0	app/getting-started
A		docs/01-app/01-getting-started/17-deploying.mdx	83	0	app/getting-started
A		docs/01-app/01-getting-started/18-upgrading.mdx	63	0	app/getting-started
A		docs/01-app/01-getting-started/index.mdx	21	0	app/getting-started
R	docs/02-app/01-building-your-application/06-optimizing/08-analytics.mdx	docs/01-app/02-guides/analytics.mdx	22	4	app/guides
R	docs/02-app/01-building-your-application/09-authentication/index.mdx	docs/01-app/02-guides/authentication.mdx	179	117	app/guides
A		docs/01-app/02-guides/backend-for-frontend.mdx	803	0	app/guides
R	docs/02-app/01-building-your-application/04-caching/index.mdx	docs/01-app/02-guides/caching.mdx	92	63	app/guides
R	docs/03-pages/01-building-your-application/09-deploying/04-ci-build-caching.mdx	docs/01-app/02-guides/ci-build-caching.mdx	3	2	app/guides
A		docs/01-app/02-guides/content-security-policy.mdx	724	0	app/guides
R	docs/02-app/01-building-your-application/05-styling/04-css-in-js.mdx	docs/01-app/02-guides/css-in-js.mdx	6	9	app/guides
A		docs/01-app/02-guides/custom-server.mdx	122	0	app/guides
A		docs/01-app/02-guides/data-security.mdx	472	0	app/guides
A		docs/01-app/02-guides/debugging.mdx	167	0	app/guides
A		docs/01-app/02-guides/draft-mode.mdx	215	0	app/guides
R	docs/02-app/01-building-your-application/07-configuring/03-environment-variables.mdx	docs/01-app/02-guides/environment-variables.mdx	35	37	app/guides
A		docs/01-app/02-guides/forms.mdx	491	0	app/guides
A		docs/01-app/02-guides/incremental-static-regeneration.mdx	608	0	app/guides
A		docs/01-app/02-guides/index.mdx	4	0	app/guides
R	docs/02-app/01-building-your-application/06-optimizing/09-instrumentation.mdx	docs/01-app/02-guides/instrumentation.mdx	6	7	app/guides
R	docs/02-app/01-building-your-application/01-routing/15-internationalization.mdx	docs/01-app/02-guides/internationalization.mdx	89	18	app/guides
A		docs/01-app/02-guides/json-ld.mdx	85	0	app/guides
R	docs/02-app/01-building-your-application/06-optimizing/07-lazy-loading.mdx	docs/01-app/02-guides/lazy-loading.mdx	28	8	app/guides
A		docs/01-app/02-guides/local-development.mdx	237	0	app/guides
A		docs/01-app/02-guides/mcp.mdx	175	0	app/guides
R	docs/02-app/01-building-your-application/07-configuring/05-mdx.mdx	docs/01-app/02-guides/mdx.mdx	189	84	app/guides
R	docs/02-app/01-building-your-application/06-optimizing/13-memory-usage.mdx	docs/01-app/02-guides/memory-usage.mdx	68	4	app/guides
R	docs/02-app/01-building-your-application/11-upgrading/04-app-router-migration.mdx	docs/01-app/02-guides/migrating/app-router-migration.mdx	72	56	app/guides
A		docs/01-app/02-guides/migrating/from-create-react-app.mdx	587	0	app/guides
R	docs/02-app/01-building-your-application/11-upgrading/05-from-vite.mdx	docs/01-app/02-guides/migrating/from-vite.mdx	33	39	app/guides
A		docs/01-app/02-guides/migrating/index.mdx	4	0	app/guides
A		docs/01-app/02-guides/multi-tenant.mdx	7	0	app/guides
