status,old_path,new_path,normalized_path,ko_path,action,priority,additions,deletions,section
A,,docs/01-app/01-getting-started/01-installation.mdx,app/getting-started/installation,,NEW_TRANSLATION,P1,413,0,app/getting-started
A,,docs/01-app/01-getting-started/02-project-structure.mdx,app/getting-started/project-structure,,NEW_TRANSLATION,P1,421,0,app/getting-started
A,,docs/01-app/01-getting-started/03-layouts-and-pages.mdx,app/getting-started/layouts-and-pages,,NEW_TRANSLATION,P1,360,0,app/getting-started
A,,docs/01-app/01-getting-started/04-linking-and-navigating.mdx,app/getting-started/linking-and-navigating,,NEW_TRANSLATION,P1,440,0,app/getting-started
A,,docs/01-app/01-getting-started/05-server-and-client-components.mdx,app/getting-started/server-and-client-components,,NEW_TRANSLATION,P1,778,0,app/getting-started
A,,docs/01-app/01-getting-started/06-cache-components.mdx,app/getting-started/cache-components,,NEW_TRANSLATION,P1,653,0,app/getting-started
A,,docs/01-app/01-getting-started/07-fetching-data.mdx,app/getting-started/fetching-data,,NEW_TRANSLATION,P1,657,0,app/getting-started
A,,docs/01-app/01-getting-started/08-updating-data.mdx,app/getting-started/updating-data,,NEW_TRANSLATION,P1,521,0,app/getting-started
A,,docs/01-app/01-getting-started/09-caching-and-revalidating.mdx,app/getting-started/caching-and-revalidating,,NEW_TRANSLATION,P0,323,0,app/getting-started
A,,docs/01-app/01-getting-started/10-error-handling.mdx,app/getting-started/error-handling,,NEW_TRANSLATION,P1,372,0,app/getting-started
A,,docs/01-app/01-getting-started/11-css.mdx,app/getting-started/css,,NEW_TRANSLATION,P1,458,0,app/getting-started
A,,docs/01-app/01-getting-started/12-images.mdx,app/getting-started/images,,NEW_TRANSLATION,P1,192,0,app/getting-started
A,,docs/01-app/01-getting-started/13-fonts.mdx,app/getting-started/fonts,,NEW_TRANSLATION,P1,414,0,app/getting-started
A,,docs/01-app/01-getting-started/14-metadata-and-og-images.mdx,app/getting-started/metadata-and-og-images,,NEW_TRANSLATION,P1,334,0,app/getting-started
A,,docs/01-app/01-getting-started/15-route-handlers.mdx,app/getting-started/route-handlers,,NEW_TRANSLATION,P1,202,0,app/getting-started
A,,docs/01-app/01-getting-started/16-proxy.mdx,app/getting-started/proxy,,NEW_TRANSLATION,P1,78,0,app/getting-started
A,,docs/01-app/01-getting-started/17-deploying.mdx,app/getting-started/deploying,,NEW_TRANSLATION,P1,83,0,app/getting-started
A,,docs/01-app/01-getting-started/18-upgrading.mdx,app/getting-started/upgrading,,NEW_TRANSLATION,P1,63,0,app/getting-started
A,,docs/01-app/01-getting-started/index.mdx,app/getting-started,,NEW_TRANSLATION,P1,21,0,app/getting-started
R,docs/02-app/01-building-your-application/06-optimizing/08-analytics.mdx,docs/01-app/02-guides/analytics.mdx,app/guides/analytics,,REMOVE_OR_REDIRECT,P2,22,4,app/guides
R,docs/02-app/01-building-your-application/09-authentication/index.mdx,docs/01-app/02-guides/authentication.mdx,app/guides/authentication,,REMOVE_OR_REDIRECT,P2,179,117,app/guides
A,,docs/01-app/02-guides/backend-for-frontend.mdx,app/guides/backend-for-frontend,,NEW_TRANSLATION,P2,803,0,app/guides
R,docs/02-app/01-building-your-application/04-caching/index.mdx,docs/01-app/02-guides/caching.mdx,app/guides/caching,,REMOVE_OR_REDIRECT,P0,92,63,app/guides
R,docs/03-pages/01-building-your-application/09-deploying/04-ci-build-caching.mdx,docs/01-app/02-guides/ci-build-caching.mdx,app/guides/ci-build-caching,,REMOVE_OR_REDIRECT,P0,3,2,app/guides
A,,docs/01-app/02-guides/content-security-policy.mdx,app/guides/content-security-policy,,NEW_TRANSLATION,P2,724,0,app/guides
R,docs/02-app/01-building-your-application/05-styling/04-css-in-js.mdx,docs/01-app/02-guides/css-in-js.mdx,app/guides/css-in-js,,REMOVE_OR_REDIRECT,P2,6,9,app/guides
A,,docs/01-app/02-guides/custom-server.mdx,app/guides/custom-server,,NEW_TRANSLATION,P2,122,0,app/guides
A,,docs/01-app/02-guides/data-security.mdx,app/guides/data-security,,NEW_TRANSLATION,P2,472,0,app/guides
A,,docs/01-app/02-guides/debugging.mdx,app/guides/debugging,,NEW_TRANSLATION,P2,167,0,app/guides
A,,docs/01-app/02-guides/draft-mode.mdx,app/guides/draft-mode,,NEW_TRANSLATION,P2,215,0,app/guides
R,docs/02-app/01-building-your-application/07-configuring/03-environment-variables.mdx,docs/01-app/02-guides/environment-variables.mdx,app/guides/environment-variables,,REMOVE_OR_REDIRECT,P2,35,37,app/guides
A,,docs/01-app/02-guides/forms.mdx,app/guides/forms,,NEW_TRANSLATION,P2,491,0,app/guides
A,,docs/01-app/02-guides/incremental-static-regeneration.mdx,app/guides/incremental-static-regeneration,,NEW_TRANSLATION,P2,608,0,app/guides
