status,old_path,new_path,normalized_path,ko_path,action,priority,additions,deletions,section
A,,docs/01-app/03-api-reference/02-components/font.mdx,app/api-reference/components/font,pages/docs/app/api-reference/components/font.mdx,UPDATE_REQUIRED,P0,1068,0,app/api-reference
A,,docs/01-app/03-api-reference/02-components/image.mdx,app/api-reference/components/image,pages/docs/app/api-reference/components/image.mdx,UPDATE_REQUIRED,P0,1390,0,app/api-reference
R,docs/02-app/02-api-reference/01-components/index.mdx,docs/01-app/03-api-reference/02-components/index.mdx,app/api-reference/components,pages/docs/app/api-reference/components.mdx,UPDATE_REQUIRED,P0,0,0,app/api-reference
A,,docs/01-app/03-api-reference/02-components/link.mdx,app/api-reference/components/link,pages/docs/app/api-reference/components/link.mdx,UPDATE_REQUIRED,P0,1292,0,app/api-reference
R,docs/02-app/02-api-reference/01-components/script.mdx,docs/01-app/03-api-reference/02-components/script.mdx,app/api-reference/components/script,pages/docs/app/api-reference/components/script.mdx,UPDATE_REQUIRED,P0,11,11,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/app-icons.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/app-icons.mdx,app/api-reference/file-conventions/metadata/app-icons,pages/docs/app/api-reference/file-conventions/metadata/app-icons.mdx,UPDATE_REQUIRED,P0,27,18,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/index.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/index.mdx,app/api-reference/file-conventions/metadata,pages/docs/app/api-reference/file-conventions/metadata.mdx,UPDATE_REQUIRED,P0,4,1,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/manifest.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/manifest.mdx,app/api-reference/file-conventions/metadata/manifest,pages/docs/app/api-reference/file-conventions/metadata/manifest.mdx,UPDATE_REQUIRED,P0,2,2,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/opengraph-image.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/opengraph-image.mdx,app/api-reference/file-conventions/metadata/opengraph-image,pages/docs/app/api-reference/file-conventions/metadata/opengraph-image.mdx,UPDATE_REQUIRED,P0,64,49,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/robots.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/robots.mdx,app/api-reference/file-conventions/metadata/robots,pages/docs/app/api-reference/file-conventions/metadata/robots.mdx,UPDATE_REQUIRED,P0,1,1,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/sitemap.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/sitemap.mdx,app/api-reference/file-conventions/metadata/sitemap,pages/docs/app/api-reference/file-conventions/metadata/sitemap.mdx,UPDATE_REQUIRED,P0,132,6,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/default.mdx,app/api-reference/file-conventions/default,pages/docs/app/api-reference/file-conventions/default.mdx,UPDATE_REQUIRED,P0,66,0,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/error.mdx,docs/01-app/03-api-reference/03-file-conventions/error.mdx,app/api-reference/file-conventions/error,pages/docs/app/api-reference/file-conventions/error.mdx,UPDATE_REQUIRED,P0,135,17,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/index.mdx,app/api-reference/file-conventions,pages/docs/app/api-reference/file-conventions.mdx,UPDATE_REQUIRED,P0,4,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/instrumentation.mdx,app/api-reference/file-conventions/instrumentation,pages/docs/app/api-reference/file-conventions/instrumentation.mdx,UPDATE_REQUIRED,P0,139,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/layout.mdx,app/api-reference/file-conventions/layout,pages/docs/app/api-reference/file-conventions/layout.mdx,UPDATE_REQUIRED,P0,681,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/loading.mdx,app/api-reference/file-conventions/loading,pages/docs/app/api-reference/file-conventions/loading.mdx,UPDATE_REQUIRED,P0,185,0,app/api-reference
